,0,1,2,3,4
0,Energy,LDA,LSD,RLDA,ScRLDA
1,Etot =,-8563.360285,-8563.372995,-8844.886564,-8840.235965
2,Ekin =,8559.301423,8559.315999,9460.503125,9341.824041
3,Ecoul =,3351.833535,3351.951026,3422.788864,3416.006087
4,Eenuc =,-20278.178413,-20278.307405,-21538.766207,-21409.154942
5,Exc =,-196.316831,-196.332615,-189.412346,-188.911151
6,1s,-1406.148284,-1406.146012-1406.146030,-1469.545032,-1470.921989
7,2s,-218.684842,-218.683287-218.681761,-235.530285,-235.839099
8,2p,-206.925148,-206.923381-206.922285,-222.648191-206.405959,-211.562534
9,3s,-47.035283,-47.039499-47.026461,-50.732489,-50.798242
10,3p,-41.938282,-41.942039-41.929920,-45.227471-42.034423,-43.047142
11,3d,-32.412569,-32.415018-32.405508,-32.330578-31.641268,-31.964198
12,4s,-9.432744,-9.445521-9.415425,-10.253086,-10.266032
13,4p,-7.532106,-7.544884-7.514797,-8.202550-7.511212,-7.727476
14,4d,-4.192548,-4.205355-4.175243,-4.127385-4.005804,-4.060284
15,4f,-0.337442,-0.350169-0.320436,-0.218982-0.206647,-0.212073
16,5s,-1.369728,-1.381274-1.354368,-1.490643,-1.492564
17,5p,-0.850110,-0.861405-0.835191,-0.926609-0.824373,-0.855702
18,5d,-0.140550,-0.149835-0.128708,-0.122052-0.114561,-0.117564
19,6s,-0.133974,-0.138745-0.128126,-0.142238,-0.142266
